2001 Scottish National Park Populations - Output Area Based,,,,,,,,,,,
,,,,,,,,,,,
,CODE,NATIONAL PARK NAME,OA,OUTPUT AREA POPULATION,,,CODE,NATIONAL PARK NAME,OA,OUTPUT AREA POPULATION,
,1,The Cairngorms National Park,60QB001710,208,,,2,The Loch Lomond and The Trossachs National Park,60QG000332,73,
,1,The Cairngorms National Park,60QB000469,175,,,2,The Loch Lomond and The Trossachs National Park,60QG000050,170,
,1,The Cairngorms National Park,60QB001451,154,,,2,The Loch Lomond and The Trossachs National Park,60QG000306,86,
,1,The Cairngorms National Park,60QB000257,179,,,2,The Loch Lomond and The Trossachs National Park,60QG000305,116,
,1,The Cairngorms National Park,60QB001411,107,,,2,The Loch Lomond and The Trossachs National Park,60QG000303,84,
,1,The Cairngorms National Park,60QB001410,183,,,2,The Loch Lomond and The Trossachs National Park,60QG000004,160,
,1,The Cairngorms National Park,60QB001293,79,,,2,The Loch Lomond and The Trossachs National Park,60QG000300,122,
,1,The Cairngorms National Park,60QB001291,204,,,2,The Loch Lomond and The Trossachs National Park,60RG000029,112,
,1,The Cairngorms National Park,60QB001274,67,,,2,The Loch Lomond and The Trossachs National Park,60QG000347,117,
,1,The Cairngorms National Park,60QB001273,135,,,2,The Loch Lomond and The Trossachs National Park,60QD000026,135,
,1,The Cairngorms National Park,60QB001452,61,,,2,The Loch Lomond and The Trossachs National Park,60QD000141,99,
,1,The Cairngorms National Park,60QT000503,125,,,2,The Loch Lomond and The Trossachs National Park,60QD000140,129,
,1,The Cairngorms National Park,60QT000511,66,,,2,The Loch Lomond and The Trossachs National Park,60QD000031,71,
,1,The Cairngorms National Park,60QT000512,126,,,2,The Loch Lomond and The Trossachs National Park,60QD000030,135,
,1,The Cairngorms National Park,60QT000514,82,,,2,The Loch Lomond and The Trossachs National Park,60QD000029,103,
,1,The Cairngorms National Park,60QT001387,53,,,2,The Loch Lomond and The Trossachs National Park,60RG000683,85,
,1,The Cairngorms National Park,60QT000502,182,,,2,The Loch Lomond and The Trossachs National Park,60QD000027,58,
,1,The Cairngorms National Park,60QT001555,126,,,2,The Loch Lomond and The Trossachs National Park,60QD000144,126,
,1,The Cairngorms National Park,60QT000495,120,,,2,The Loch Lomond and The Trossachs National Park,60QD000025,61,
,1,The Cairngorms National Park,60QT000506,111,,,2,The Loch Lomond and The Trossachs National Park,60QD000024,130,
,1,The Cairngorms National Park,60QT000513,121,,,2,The Loch Lomond and The Trossachs National Park,60QD000023,139,
,1,The Cairngorms National Park,60QT000510,179,,,2,The Loch Lomond and The Trossachs National Park,60QD000003,54,
,1,The Cairngorms National Park,60QT001558,105,,,2,The Loch Lomond and The Trossachs National Park,60QD000002,167,
,1,The Cairngorms National Park,60QT000015,152,,,2,The Loch Lomond and The Trossachs National Park,60RG000682,131,
,1,The Cairngorms National Park,60QT000016,78,,,2,The Loch Lomond and The Trossachs National Park,60QD000028,159,
,1,The Cairngorms National Park,60QT000494,122,,,2,The Loch Lomond and The Trossachs National Park,60QD000623,74,
,1,The Cairngorms National Park,60QT000496,94,,,2,The Loch Lomond and The Trossachs National Park,60QG000003,82,
,1,The Cairngorms National Park,60QT000509,89,,,2,The Loch Lomond and The Trossachs National Park,60QD000718,92,
,1,The Cairngorms National Park,60QT001339,73,,,2,The Loch Lomond and The Trossachs National Park,60QD000717,113,
,1,The Cairngorms National Park,60QB000255,78,,,2,The Loch Lomond and The Trossachs National Park,60QD000681,85,
,1,The Cairngorms National Park,60QT000003,97,,,2,The Loch Lomond and The Trossachs National Park,60QD000680,164,
,1,The Cairngorms National Park,60QT000508,92,,,2,The Loch Lomond and The Trossachs National Park,60QD000678,101,
,1,The Cairngorms National Park,60QT001557,69,,,2,The Loch Lomond and The Trossachs National Park,60QD000142,102,
,1,The Cairngorms National Park,60QT000020,114,,,2,The Loch Lomond and The Trossachs National Park,60QD000676,110,
,1,The Cairngorms National Park,60QT000023,85,,,2,The Loch Lomond and The Trossachs National Park,60QD000143,103,
