2001 Scottish National Park Populations - Postcode Based,,,,,,,,,,,
,,,,,,,,,,,
,CODE,NATIONAL PARK NAME,PC,POSTCODE POPULATION,,,CODE,NATIONAL PARK NAME,PC,POSTCODE POPULATION,
,1,The Cairngorms National Park,AB37 9ES,21,,,2,The Loch Lomond and The Trossachs National Park,G83 7DXA,6,
,1,The Cairngorms National Park,AB37 9ET,30,,,2,The Loch Lomond and The Trossachs National Park,G83 7DW,11,
,1,The Cairngorms National Park,AB37 9EW,14,,,2,The Loch Lomond and The Trossachs National Park,G83 7DT,22,
,1,The Cairngorms National Park,AB37 9EX,68,,,2,The Loch Lomond and The Trossachs National Park,G83 7DS,8,
,1,The Cairngorms National Park,AB37 9EY,0,,,2,The Loch Lomond and The Trossachs National Park,G83 7DQ,7,
,1,The Cairngorms National Park,AB37 9EZ,11,,,2,The Loch Lomond and The Trossachs National Park,G83 7DP,7,
,1,The Cairngorms National Park,AB37 9HA,93,,,2,The Loch Lomond and The Trossachs National Park,G83 7DN,2,
,1,The Cairngorms National Park,AB37 9HB,2,,,2,The Loch Lomond and The Trossachs National Park,G83 7DL,6,
,1,The Cairngorms National Park,AB37 9HU,35,,,2,The Loch Lomond and The Trossachs National Park,G83 7DJ,2,
,1,The Cairngorms National Park,AB37 9HE,6,,,2,The Loch Lomond and The Trossachs National Park,G83 7DH,6,
,1,The Cairngorms National Park,AB36 8UQ,4,,,2,The Loch Lomond and The Trossachs National Park,G83 7DG,21,
,1,The Cairngorms National Park,AB37 9HG,12,,,2,The Loch Lomond and The Trossachs National Park,G83 8DS,4,
,1,The Cairngorms National Park,AB37 9HH,12,,,2,The Loch Lomond and The Trossachs National Park,PA23 8TA,39,
,1,The Cairngorms National Park,AB37 9HJ,7,,,2,The Loch Lomond and The Trossachs National Park,G83 8NW,33,
,1,The Cairngorms National Park,AB37 9HL,18,,,2,The Loch Lomond and The Trossachs National Park,PA23 8TT,27,
,1,The Cairngorms National Park,AB37 9HN,8,,,2,The Loch Lomond and The Trossachs National Park,PA23 8TS,17,
,1,The Cairngorms National Park,AB37 9HP,16,,,2,The Loch Lomond and The Trossachs National Park,PA23 8TR,71,
,1,The Cairngorms National Park,AB37 9HQ,0,,,2,The Loch Lomond and The Trossachs National Park,PA23 8TP,27,
,1,The Cairngorms National Park,AB37 9HR,6,,,2,The Loch Lomond and The Trossachs National Park,PA23 8TN,11,
,1,The Cairngorms National Park,AB37 9HD,12,,,2,The Loch Lomond and The Trossachs National Park,PA23 8TL,47,
,1,The Cairngorms National Park,AB35 5XP,4,,,2,The Loch Lomond and The Trossachs National Park,PA23 8TJ,61,
,1,The Cairngorms National Park,AB35 5YD,0,,,2,The Loch Lomond and The Trossachs National Park,PA23 8TH,57,
,1,The Cairngorms National Park,AB35 5WP,9,,,2,The Loch Lomond and The Trossachs National Park,PA23 8TG,29,
,1,The Cairngorms National Park,AB35 5WR,41,,,2,The Loch Lomond and The Trossachs National Park,PA24 8AA,71,
,1,The Cairngorms National Park,AB35 5WS,11,,,2,The Loch Lomond and The Trossachs National Park,PA23 8TB,41,
,1,The Cairngorms National Park,AB35 5WT,4,,,2,The Loch Lomond and The Trossachs National Park,PA24 8AB,37,
,1,The Cairngorms National Park,AB35 5XA,0,,,2,The Loch Lomond and The Trossachs National Park,PA23 8SG,33,
,1,The Cairngorms National Park,AB35 5XB,10,,,2,The Loch Lomond and The Trossachs National Park,PA23 8SF,17,
,1,The Cairngorms National Park,AB35 5XD,0,,,2,The Loch Lomond and The Trossachs National Park,PA23 8SE,53,
,1,The Cairngorms National Park,AB35 5UX,9,,,2,The Loch Lomond and The Trossachs National Park,PA23 8SD,35,
,1,The Cairngorms National Park,AB35 5XN,6,,,2,The Loch Lomond and The Trossachs National Park,PA23 8SB,49,
,1,The Cairngorms National Park,AB35 5UT,14,,,2,The Loch Lomond and The Trossachs National Park,PA23 8SA,55,
,1,The Cairngorms National Park,AB35 5XQ,6,,,2,The Loch Lomond and The Trossachs National Park,PA23 8RY,63,
,1,The Cairngorms National Park,AB35 5XR,7,,,2,The Loch Lomond and The Trossachs National Park,PA23 8RX,34,
,1,The Cairngorms National Park,AB35 5XS,5,,,2,The Loch Lomond and The Trossachs National Park,PA23 8RU,3,
,1,The Cairngorms National Park,AB35 5XT,0,,,2,The Loch Lomond and The Trossachs National Park,PA23 8RT,86,
,1,The Cairngorms National Park,AB35 5XU,6,,,2,The Loch Lomond and The Trossachs National Park,PA23 8RS,37,
,1,The Cairngorms National Park,AB35 5XX,14,,,2,The Loch Lomond and The Trossachs National Park,PA23 8TE,74,
,1,The Cairngorms National Park,AB35 5YA,2,,,2,The Loch Lomond and The Trossachs National Park,PA26 8BQ,5,
,1,The Cairngorms National Park,AB36 8US,25,,,2,The Loch Lomond and The Trossachs National Park,PH6 2NN,2,
,1,The Cairngorms National Park,AB35 5XL,5,,,2,The Loch Lomond and The Trossachs National Park,PH6 2NL,4,
,1,The Cairngorms National Park,AB35 5UE,0,,,2,The Loch Lomond and The Trossachs National Park,PH6 2NJ,2,
,1,The Cairngorms National Park,AB35 5TP,30,,,2,The Loch Lomond and The Trossachs National Park,PH6 2NG,31,
,1,The Cairngorms National Park,AB35 5TQ,5,,,2,The Loch Lomond and The Trossachs National Park,PH6 2NF,64,
,1,The Cairngorms National Park,AB35 5TR,8,,,2,The Loch Lomond and The Trossachs National Park,PH6 2NE,14,
,1,The Cairngorms National Park,AB35 5TS,6,,,2,The Loch Lomond and The Trossachs National Park,PH6 2ND,46,
,1,The Cairngorms National Park,AB35 5TU,2,,,2,The Loch Lomond and The Trossachs National Park,PH6 2NB,5,
,1,The Cairngorms National Park,AB35 5TX,19,,,2,The Loch Lomond and The Trossachs National Park,PA27 8DW,20,
,1,The Cairngorms National Park,AB35 5TY,5,,,2,The Loch Lomond and The Trossachs National Park,PA27 8DN,7,
,1,The Cairngorms National Park,AB35 5UA,23,,,2,The Loch Lomond and The Trossachs National Park,PA23 8TU,49,
,1,The Cairngorms National Park,AB35 5UZ,12,,,2,The Loch Lomond and The Trossachs National Park,PA27 8DJ,40,
,1,The Cairngorms National Park,AB35 5UD,10,,,2,The Loch Lomond and The Trossachs National Park,PA23 8RA,33,
,1,The Cairngorms National Park,AB35 5YE,46,,,2,The Loch Lomond and The Trossachs National Park,PA24 8AR,5,
,1,The Cairngorms National Park,AB35 5UH,5,,,2,The Loch Lomond and The Trossachs National Park,PA24 8AQ,32,
,1,The Cairngorms National Park,AB35 5UJ,27,,,2,The Loch Lomond and The Trossachs National Park,PA24 8AP,27,
,1,The Cairngorms National Park,AB35 5UL,28,,,2,The Loch Lomond and The Trossachs National Park,PA24 8AN,8,
,1,The Cairngorms National Park,AB35 5UN,1,,,2,The Loch Lomond and The Trossachs National Park,PA24 8AL,3,
,1,The Cairngorms National Park,AB35 5UP,7,,,2,The Loch Lomond and The Trossachs National Park,PA24 8AJ,39,
,1,The Cairngorms National Park,AB35 5UQ,8,,,2,The Loch Lomond and The Trossachs National Park,PA24 8AH,50,
,1,The Cairngorms National Park,AB35 5UR,8,,,2,The Loch Lomond and The Trossachs National Park,PA24 8AG,13,
,1,The Cairngorms National Park,AB35 5US,5,,,2,The Loch Lomond and The Trossachs National Park,PA24 8AF,89,
,1,The Cairngorms National Park,AB35 5UB,4,,,2,The Loch Lomond and The Trossachs National Park,PA24 8AE,52,
,1,The Cairngorms National Park,AB36 8TY,0,,,2,The Loch Lomond and The Trossachs National Park,PA24 8AD,42,
,1,The Cairngorms National Park,AB35 5YB,18,,,2,The Loch Lomond and The Trossachs National Park,PA27 8DL,14,
,1,The Cairngorms National Park,AB36 8TJ,8,,,2,The Loch Lomond and The Trossachs National Park,G83 8QU,3,
,1,The Cairngorms National Park,AB36 8TL,0,,,2,The Loch Lomond and The Trossachs National Park,G83 8RP,233,
,1,The Cairngorms National Park,AB36 8TN,9,,,2,The Loch Lomond and The Trossachs National Park,G83 8RJ,5,
,1,The Cairngorms National Park,AB36 8TP,0,,,2,The Loch Lomond and The Trossachs National Park,G83 8RH,33,
,1,The Cairngorms National Park,AB36 8TQ,6,,,2,The Loch Lomond and The Trossachs National Park,G83 8RG,24,
,1,The Cairngorms National Park,AB36 8TR,19,,,2,The Loch Lomond and The Trossachs National Park,G83 8RF,7,
,1,The Cairngorms National Park,AB36 8TS,9,,,2,The Loch Lomond and The Trossachs National Park,G83 8RE,6,
,1,The Cairngorms National Park,AB36 8TG,22,,,2,The Loch Lomond and The Trossachs National Park,G83 8RD,62,
,1,The Cairngorms National Park,AB36 8TX,0,,,2,The Loch Lomond and The Trossachs National Park,G83 8RB,33,
,1,The Cairngorms National Park,AB35 5ZS,17,,,2,The Loch Lomond and The Trossachs National Park,G83 8QZB,20,
,1,The Cairngorms National Park,AB36 8UA,3,,,2,The Loch Lomond and The Trossachs National Park,G83 8QZA,18,
,1,The Cairngorms National Park,AB36 8UB,10,,,2,The Loch Lomond and The Trossachs National Park,PA23 8RR,49,
,1,The Cairngorms National Park,AB36 8UD,0,,,2,The Loch Lomond and The Trossachs National Park,G83 8QW,6,
,1,The Cairngorms National Park,AB36 8UH,15,,,2,The Loch Lomond and The Trossachs National Park,G83 8RS,14,
,1,The Cairngorms National Park,AB36 8UJ,23,,,2,The Loch Lomond and The Trossachs National Park,G83 8QS,9,
,1,The Cairngorms National Park,AB36 8UL,16,,,2,The Loch Lomond and The Trossachs National Park,G83 8QR,5,
,1,The Cairngorms National Park,AB36 8UN,24,,,2,The Loch Lomond and The Trossachs National Park,G83 8QP,18,
,1,The Cairngorms National Park,AB36 8UP,8,,,2,The Loch Lomond and The Trossachs National Park,G83 8QN,0,
,1,The Cairngorms National Park,AB36 8TT,4,,,2,The Loch Lomond and The Trossachs National Park,G83 8PG,19,
,1,The Cairngorms National Park,AB35 5YW,23,,,2,The Loch Lomond and The Trossachs National Park,G83 8PE,0,
,1,The Cairngorms National Park,AB35 5YF,11,,,2,The Loch Lomond and The Trossachs National Park,G83 8PD,20,
,1,The Cairngorms National Park,AB35 5YG,3,,,2,The Loch Lomond and The Trossachs National Park,G83 8PB,18,
,1,The Cairngorms National Park,AB35 5YH,19,,,2,The Loch Lomond and The Trossachs National Park,G83 8PA,24,
,1,The Cairngorms National Park,AB35 5YJ,20,,,2,The Loch Lomond and The Trossachs National Park,G83 8NZ,30,
,1,The Cairngorms National Park,AB35 5YL,42,,,2,The Loch Lomond and The Trossachs National Park,G63 0JT,0,
,1,The Cairngorms National Park,AB35 5YP,6,,,2,The Loch Lomond and The Trossachs National Park,G83 8QX,4,
,1,The Cairngorms National Park,AB35 5YQ,67,,,2,The Loch Lomond and The Trossachs National Park,G83 8SR,42,
,1,The Cairngorms National Park,AB35 5YS,31,,,2,The Loch Lomond and The Trossachs National Park,G83 8NX,20,
,1,The Cairngorms National Park,AB36 8TH,5,,,2,The Loch Lomond and The Trossachs National Park,PA23 8QU,54,
,1,The Cairngorms National Park,AB35 5YU,9,,,2,The Loch Lomond and The Trossachs National Park,PA23 8QT,15,
,1,The Cairngorms National Park,AB34 5LY,0,,,2,The Loch Lomond and The Trossachs National Park,G84 9EQ,3,
,1,The Cairngorms National Park,AB35 5YX,11,,,2,The Loch Lomond and The Trossachs National Park,G84 9EE,29,
,1,The Cairngorms National Park,AB35 5YY,2,,,2,The Loch Lomond and The Trossachs National Park,G84 9ED,15,
,1,The Cairngorms National Park,AB35 5YZ,28,,,2,The Loch Lomond and The Trossachs National Park,G84 9EB,7,
,1,The Cairngorms National Park,AB35 5ZA,28,,,2,The Loch Lomond and The Trossachs National Park,G84 8YT,5,
,1,The Cairngorms National Park,AB35 5ZB,58,,,2,The Loch Lomond and The Trossachs National Park,G83 8TU,12,
,1,The Cairngorms National Park,AB35 5ZP,2,,,2,The Loch Lomond and The Trossachs National Park,G83 8SY,161,
,1,The Cairngorms National Park,AB35 5ZQ,2,,,2,The Loch Lomond and The Trossachs National Park,G83 8SX,23,
,1,The Cairngorms National Park,AB35 5ZR,7,,,2,The Loch Lomond and The Trossachs National Park,G83 8RQ,15,
,1,The Cairngorms National Park,AB35 5YT,48,,,2,The Loch Lomond and The Trossachs National Park,G83 8SS,6,
,1,The Cairngorms National Park,PH26 3EG,20,,,2,The Loch Lomond and The Trossachs National Park,G83 8RR,60,
,1,The Cairngorms National Park,PH25 3EQ,14,,,2,The Loch Lomond and The Trossachs National Park,G83 8SN,24,
,1,The Cairngorms National Park,PH26 3EU,57,,,2,The Loch Lomond and The Trossachs National Park,G83 8SDA,27,
,1,The Cairngorms National Park,PH26 3ET,54,,,2,The Loch Lomond and The Trossachs National Park,G83 8SBB,3,
,1,The Cairngorms National Park,PH26 3ES,125,,,2,The Loch Lomond and The Trossachs National Park,G83 8SBA,59,
,1,The Cairngorms National Park,PH26 3ER,33,,,2,The Loch Lomond and The Trossachs National Park,G83 8SA,18,
,1,The Cairngorms National Park,PH26 3EP,15,,,2,The Loch Lomond and The Trossachs National Park,G83 8RZ,25,
,1,The Cairngorms National Park,PH26 3EN,44,,,2,The Loch Lomond and The Trossachs National Park,G83 8RY,32,
,1,The Cairngorms National Park,PH26 3EL,48,,,2,The Loch Lomond and The Trossachs National Park,G83 8RX,57,
,1,The Cairngorms National Park,PH26 3EX,126,,,2,The Loch Lomond and The Trossachs National Park,G83 8RU,27,
,1,The Cairngorms National Park,PH26 3EH,32,,,2,The Loch Lomond and The Trossachs National Park,G83 8RT,53,
,1,The Cairngorms National Park,PH26 3EY,166,,,2,The Loch Lomond and The Trossachs National Park,PA23 8RB,4,
,1,The Cairngorms National Park,PH26 3EF,7,,,2,The Loch Lomond and The Trossachs National Park,G83 8SW,16,
,1,The Cairngorms National Park,PH26 3EE,0,,,2,The Loch Lomond and The Trossachs National Park,FK8 3LE,10,
,1,The Cairngorms National Park,PH26 3EA,19,,,2,The Loch Lomond and The Trossachs National Park,FK21 8UR,4,
,1,The Cairngorms National Park,PH26 3DB,14,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RQ,35,
,1,The Cairngorms National Park,PH26 3DA,32,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RP,35,
,1,The Cairngorms National Park,PH26 3BS,15,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RN,40,
,1,The Cairngorms National Park,PH25 3RA,20,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RL,7,
,1,The Cairngorms National Park,PH24 3BE,30,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RJ,56,
,1,The Cairngorms National Park,PH26 3EJ,7,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RH,11,
,1,The Cairngorms National Park,PH26 3HL,11,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RF,7,
,1,The Cairngorms National Park,PH26 3JA,12,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RE,28,
,1,The Cairngorms National Park,PH26 3HZ,42,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RD,50,
,1,The Cairngorms National Park,PH26 3HY,29,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RS,43,
,1,The Cairngorms National Park,PH26 3HX,25,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RA,31,
,1,The Cairngorms National Park,PH26 3HW,56,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RT,15,
,1,The Cairngorms National Park,PH26 3HT,0,,,2,The Loch Lomond and The Trossachs National Park,FK8 3LB,9,
,1,The Cairngorms National Park,PH26 3HS,72,,,2,The Loch Lomond and The Trossachs National Park,FK8 3LA,3,
,1,The Cairngorms National Park,PH26 3HR,20,,,2,The Loch Lomond and The Trossachs National Park,FK21 8XE,5,
,1,The Cairngorms National Park,PH26 3EW,35,,,2,The Loch Lomond and The Trossachs National Park,FK21 8XD,41,
,1,The Cairngorms National Park,PH26 3HN,14,,,2,The Loch Lomond and The Trossachs National Park,FK21 8XB,12,
,1,The Cairngorms National Park,PH25 3EH,29,,,2,The Loch Lomond and The Trossachs National Park,FK21 8XA,34,
,1,The Cairngorms National Park,PH26 3HJ,13,,,2,The Loch Lomond and The Trossachs National Park,FK21 8UZ,10,
,1,The Cairngorms National Park,PH26 3HH,11,,,2,The Loch Lomond and The Trossachs National Park,FK21 8UY,87,
,1,The Cairngorms National Park,AB34 5ND,3,,,2,The Loch Lomond and The Trossachs National Park,FK21 8UX,11,
,1,The Cairngorms National Park,PH26 3HF,47,,,2,The Loch Lomond and The Trossachs National Park,FK21 8UW,45,
,1,The Cairngorms National Park,PH21 1HD,12,,,2,The Loch Lomond and The Trossachs National Park,G63 0JX,3,
,1,The Cairngorms National Park,PH26 3HB,42,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RB,10,
,1,The Cairngorms National Park,PH26 3HA,21,,,2,The Loch Lomond and The Trossachs National Park,FK8 3ST,47,
,1,The Cairngorms National Park,PH26 3EZ,16,,,2,The Loch Lomond and The Trossachs National Park,FK8 3TJ,23,
,1,The Cairngorms National Park,PH26 3HP,13,,,2,The Loch Lomond and The Trossachs National Park,FK8 3TH,9,
,1,The Cairngorms National Park,PH24 3BT,16,,,2,The Loch Lomond and The Trossachs National Park,FK8 3TG,8,
,1,The Cairngorms National Park,PH25 3HA,0,,,2,The Loch Lomond and The Trossachs National Park,FK8 3TF,10,
,1,The Cairngorms National Park,PH25 3DD,9,,,2,The Loch Lomond and The Trossachs National Park,FK8 3TE,15,
,1,The Cairngorms National Park,PH25 3DB,10,,,2,The Loch Lomond and The Trossachs National Park,FK8 3TD,50,
,1,The Cairngorms National Park,PH25 3DA,9,,,2,The Loch Lomond and The Trossachs National Park,FK8 3TA,12,
,1,The Cairngorms National Park,PH24 3JA,36,,,2,The Loch Lomond and The Trossachs National Park,FK8 3SZ,100,
,1,The Cairngorms National Park,PH24 3BZ,30,,,2,The Loch Lomond and The Trossachs National Park,FK8 3SY,0,
,1,The Cairngorms National Park,PH24 3BY,86,,,2,The Loch Lomond and The Trossachs National Park,FK8 3SX,24,
,1,The Cairngorms National Park,PH24 3BX,62,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RR,43,
,1,The Cairngorms National Park,PH25 3DF,18,,,2,The Loch Lomond and The Trossachs National Park,FK8 3SU,17,
,1,The Cairngorms National Park,PH24 3BU,27,,,2,The Loch Lomond and The Trossachs National Park,FK21 8UN,10,
,1,The Cairngorms National Park,PH25 3DG,67,,,2,The Loch Lomond and The Trossachs National Park,FK8 3SR,23,
,1,The Cairngorms National Park,PH24 3BS,8,,,2,The Loch Lomond and The Trossachs National Park,FK8 3SP,14,
,1,The Cairngorms National Park,PH24 3BQ,11,,,2,The Loch Lomond and The Trossachs National Park,FK8 3SG,0,
,1,The Cairngorms National Park,PH24 3BP,54,,,2,The Loch Lomond and The Trossachs National Park,FK8 3SF,10,
,1,The Cairngorms National Park,PH24 3BN,93,,,2,The Loch Lomond and The Trossachs National Park,FK8 3SE,3,
,1,The Cairngorms National Park,PH24 3BL,71,,,2,The Loch Lomond and The Trossachs National Park,FK8 3SD,0,
,1,The Cairngorms National Park,PH24 3BJ,56,,,2,The Loch Lomond and The Trossachs National Park,FK8 3SB,8,
,1,The Cairngorms National Park,PH24 3BH,4,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RY,43,
,1,The Cairngorms National Park,PH24 3BG,7,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RX,2,
,1,The Cairngorms National Park,PH24 3BW,4,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RW,41,
,1,The Cairngorms National Park,PH25 3DU,35,,,2,The Loch Lomond and The Trossachs National Park,FK8 3RU,6,
,1,The Cairngorms National Park,PH25 3EG,17,,,2,The Loch Lomond and The Trossachs National Park,FK8 3SW,34,
,1,The Cairngorms National Park,PH25 3EF,58,,,2,The Loch Lomond and The Trossachs National Park,FK20 8QU,2,
,1,The Cairngorms National Park,PH25 3EE,11,,,2,The Loch Lomond and The Trossachs National Park,FK21 8UT,45,
,1,The Cairngorms National Park,PH25 3ED,54,,,2,The Loch Lomond and The Trossachs National Park,FK20 8RU,56,
,1,The Cairngorms National Park,PH25 3EB,34,,,2,The Loch Lomond and The Trossachs National Park,FK20 8RT,8,
,1,The Cairngorms National Park,PH25 3EA,4,,,2,The Loch Lomond and The Trossachs National Park,FK20 8RS,5,
,1,The Cairngorms National Park,PH25 3DZ,13,,,2,The Loch Lomond and The Trossachs National Park,FK20 8RR,25,
,1,The Cairngorms National Park,PH25 3DY,25,,,2,The Loch Lomond and The Trossachs National Park,FK20 8RQ,74,
,1,The Cairngorms National Park,PH25 3DE,47,,,2,The Loch Lomond and The Trossachs National Park,FK20 8RP,8,
,1,The Cairngorms National Park,PH25 3DW,21,,,2,The Loch Lomond and The Trossachs National Park,FK20 8RN,8,
,1,The Cairngorms National Park,PH26 3JE,4,,,2,The Loch Lomond and The Trossachs National Park,FK20 8RL,11,
,1,The Cairngorms National Park,PH25 3DT,4,,,2,The Loch Lomond and The Trossachs National Park,FK20 8RJ,11,
,1,The Cairngorms National Park,PH25 3DS,33,,,2,The Loch Lomond and The Trossachs National Park,FK20 8RY,64,
,1,The Cairngorms National Park,PH25 3DR,43,,,2,The Loch Lomond and The Trossachs National Park,FK20 8QW,6,
,1,The Cairngorms National Park,PH25 3DQ,3,,,2,The Loch Lomond and The Trossachs National Park,FK20 8SA,25,
,1,The Cairngorms National Park,PH25 3DN,12,,,2,The Loch Lomond and The Trossachs National Park,FK20 8QT,23,
,1,The Cairngorms National Park,PH25 3DL,4,,,2,The Loch Lomond and The Trossachs National Park,FK20 8QS,48,
,1,The Cairngorms National Park,PH25 3DJ,15,,,2,The Loch Lomond and The Trossachs National Park,FK20 8QR,10,
,1,The Cairngorms National Park,PH25 3DH,25,,,2,The Loch Lomond and The Trossachs National Park,FK20 8QQ,7,
,1,The Cairngorms National Park,PH25 3DX,94,,,2,The Loch Lomond and The Trossachs National Park,FK20 8QP,5,
,1,The Cairngorms National Park,PH26 3NZ,24,,,2,The Loch Lomond and The Trossachs National Park,FK20 8QN,11,
,1,The Cairngorms National Park,PH26 3JB,12,,,2,The Loch Lomond and The Trossachs National Park,FK19 8QG,37,
,1,The Cairngorms National Park,PH26 3PQ,37,,,2,The Loch Lomond and The Trossachs National Park,FK19 8QF,3,
,1,The Cairngorms National Park,PH26 3PL,37,,,2,The Loch Lomond and The Trossachs National Park,FK19 8QEB,15,
,1,The Cairngorms National Park,PH26 3PJ,6,,,2,The Loch Lomond and The Trossachs National Park,FK19 8QEA,15,
,1,The Cairngorms National Park,PH26 3PH,31,,,2,The Loch Lomond and The Trossachs National Park,FK19 8QD,2,
,1,The Cairngorms National Park,PH26 3PF,53,,,2,The Loch Lomond and The Trossachs National Park,FK20 8QY,0,
,1,The Cairngorms National Park,PH26 3PE,1,,,2,The Loch Lomond and The Trossachs National Park,FK21 8SR,14,
,1,The Cairngorms National Park,PH26 3PD,9,,,2,The Loch Lomond and The Trossachs National Park,FK21 8UL,5,
,1,The Cairngorms National Park,PH26 3PS,15,,,2,The Loch Lomond and The Trossachs National Park,FK21 8UJ,8,
,1,The Cairngorms National Park,PH26 3PA,130,,,2,The Loch Lomond and The Trossachs National Park,FK21 8UH,17,
,1,The Cairngorms National Park,PH26 3PT,20,,,2,The Loch Lomond and The Trossachs National Park,FK21 8TQ,22,
,1,The Cairngorms National Park,PH26 3NY,7,,,2,The Loch Lomond and The Trossachs National Park,FK21 8TJ,10,
,1,The Cairngorms National Park,PH26 3NX,10,,,2,The Loch Lomond and The Trossachs National Park,FK21 8TH,29,
,1,The Cairngorms National Park,PH26 3NW,2,,,2,The Loch Lomond and The Trossachs National Park,FK21 8TG,13,
,1,The Cairngorms National Park,PH26 3NU,31,,,2,The Loch Lomond and The Trossachs National Park,FK21 8TF,10,
,1,The Cairngorms National Park,PH26 3NT,70,,,2,The Loch Lomond and The Trossachs National Park,FK21 8TE,43,
,1,The Cairngorms National Park,PH26 3NS,14,,,2,The Loch Lomond and The Trossachs National Park,FK21 8TD,29,
,1,The Cairngorms National Park,PH26 3NQ,48,,,2,The Loch Lomond and The Trossachs National Park,FK20 8RX,4,
,1,The Cairngorms National Park,PH26 3NP,2,,,2,The Loch Lomond and The Trossachs National Park,FK21 8SW,8,
,1,The Cairngorms National Park,PH26 3PB,5,,,2,The Loch Lomond and The Trossachs National Park,FK8 3TP,21,
,1,The Cairngorms National Park,PH26 3QZ,0,,,2,The Loch Lomond and The Trossachs National Park,FK21 8SN,17,
,1,The Cairngorms National Park,AB34 5JY,34,,,2,The Loch Lomond and The Trossachs National Park,FK21 8SL,4,
,1,The Cairngorms National Park,AB34 5LL,2,,,2,The Loch Lomond and The Trossachs National Park,FK21 8SJ,3,
,1,The Cairngorms National Park,AB34 5LN,2,,,2,The Loch Lomond and The Trossachs National Park,FK21 8SH,78,
,1,The Cairngorms National Park,AB34 5LP,11,,,2,The Loch Lomond and The Trossachs National Park,FK21 8RH,9,
,1,The Cairngorms National Park,AB34 5LQ,15,,,2,The Loch Lomond and The Trossachs National Park,FK21 8RG,21,
,1,The Cairngorms National Park,AB34 5LR,0,,,2,The Loch Lomond and The Trossachs National Park,FK21 8RF,25,
,1,The Cairngorms National Park,AB34 5LS,19,,,2,The Loch Lomond and The Trossachs National Park,FK21 8RE,3,
,1,The Cairngorms National Park,AB34 5LU,10,,,2,The Loch Lomond and The Trossachs National Park,FK21 8RD,10,
,1,The Cairngorms National Park,PH26 3PR,51,,,2,The Loch Lomond and The Trossachs National Park,FK21 8RB,2,
,1,The Cairngorms National Park,PH26 3RA,20,,,2,The Loch Lomond and The Trossachs National Park,FK21 8RA,2,
,1,The Cairngorms National Park,PH26 3NJ,6,,,2,The Loch Lomond and The Trossachs National Park,FK21 8SZ,9,
,1,The Cairngorms National Park,PH26 3QW,11,,,2,The Loch Lomond and The Trossachs National Park,G63 0BZ,55,
,1,The Cairngorms National Park,PH26 3QQ,141,,,2,The Loch Lomond and The Trossachs National Park,FK8 3TL,224,
,1,The Cairngorms National Park,PH26 3QH,92,,,2,The Loch Lomond and The Trossachs National Park,G63 0DX,45,
,1,The Cairngorms National Park,PH26 3QE,0,,,2,The Loch Lomond and The Trossachs National Park,G63 0DW,27,
,1,The Cairngorms National Park,PH26 3QD,8,,,2,The Loch Lomond and The Trossachs National Park,G63 0DU,2,
,1,The Cairngorms National Park,PH26 3QB,35,,,2,The Loch Lomond and The Trossachs National Park,G63 0DT,29,
,1,The Cairngorms National Park,PH26 3QA,31,,,2,The Loch Lomond and The Trossachs National Park,G63 0DS,4,
,1,The Cairngorms National Park,PH26 3PZ,33,,,2,The Loch Lomond and The Trossachs National Park,G63 0DR,34,
,1,The Cairngorms National Park,PH26 3TA,0,,,2,The Loch Lomond and The Trossachs National Park,G63 0DP,7,
,1,The Cairngorms National Park,PH26 3JQ,14,,,2,The Loch Lomond and The Trossachs National Park,G63 0DN,22,
,1,The Cairngorms National Park,PH26 3LE,44,,,2,The Loch Lomond and The Trossachs National Park,G63 0DL,69,
,1,The Cairngorms National Park,PH26 3LD,51,,,2,The Loch Lomond and The Trossachs National Park,G63 0DZ,1,
,1,The Cairngorms National Park,PH26 3LB,15,,,2,The Loch Lomond and The Trossachs National Park,G63 0DH,30,
,1,The Cairngorms National Park,PH26 3LA,55,,,2,The Loch Lomond and The Trossachs National Park,G63 0EA,19,
,1,The Cairngorms National Park,PH26 3JZ,13,,,2,The Loch Lomond and The Trossachs National Park,G63 0BY,24,
,1,The Cairngorms National Park,PH26 3JW,4,,,2,The Loch Lomond and The Trossachs National Park,G63 0BX,29,
,1,The Cairngorms National Park,PH26 3JU,26,,,2,The Loch Lomond and The Trossachs National Park,G63 0BW,46,
,1,The Cairngorms National Park,PH26 3JT,4,,,2,The Loch Lomond and The Trossachs National Park,G63 0BU,40,
