2001 Scottish National Park Populations - Postcode Based,,,,,,,,,,,
,,,,,,,,,,,
,CODE,NATIONAL PARK NAME,PC,POSTCODE POPULATION,,,CODE,NATIONAL PARK NAME,PC,POSTCODE POPULATION,
,1,The Cairngorms National Park,AB35 5SS,20,,,2,The Loch Lomond and The Trossachs National Park,FK18 8NA,83,
,1,The Cairngorms National Park,AB35 5SB,32,,,2,The Loch Lomond and The Trossachs National Park,FK17 8LG,5,
,1,The Cairngorms National Park,AB35 5SU,11,,,2,The Loch Lomond and The Trossachs National Park,FK17 8LH,27,
,1,The Cairngorms National Park,AB35 5SX,8,,,2,The Loch Lomond and The Trossachs National Park,FK17 8LP,54,
,1,The Cairngorms National Park,AB35 5SY,13,,,2,The Loch Lomond and The Trossachs National Park,FK17 8LQ,3,
,1,The Cairngorms National Park,AB35 5TA,4,,,2,The Loch Lomond and The Trossachs National Park,FK17 8LT,4,
,1,The Cairngorms National Park,AB35 5TB,93,,,2,The Loch Lomond and The Trossachs National Park,FK17 8LX,0,
,1,The Cairngorms National Park,AB35 5TE,3,,,2,The Loch Lomond and The Trossachs National Park,FK19 8NX,18,
,1,The Cairngorms National Park,AB35 5TF,15,,,2,The Loch Lomond and The Trossachs National Park,FK17 8LZ,65,
,1,The Cairngorms National Park,PH21 1HB,31,,,2,The Loch Lomond and The Trossachs National Park,FK19 8NS,5,
,1,The Cairngorms National Park,AB35 5SR,7,,,2,The Loch Lomond and The Trossachs National Park,FK18 8NB,15,
,1,The Cairngorms National Park,AB35 5RQ,68,,,2,The Loch Lomond and The Trossachs National Park,FK18 8ND,6,
,1,The Cairngorms National Park,AB35 5RB,0,,,2,The Loch Lomond and The Trossachs National Park,FK18 8NF,30,
,1,The Cairngorms National Park,AB35 5RD,38,,,2,The Loch Lomond and The Trossachs National Park,FK18 8NG,28,
,1,The Cairngorms National Park,AB35 5RE,13,,,2,The Loch Lomond and The Trossachs National Park,FK18 8NJ,8,
,1,The Cairngorms National Park,AB35 5RF,17,,,2,The Loch Lomond and The Trossachs National Park,FK18 8NL,44,
,1,The Cairngorms National Park,AB35 5RG,123,,,2,The Loch Lomond and The Trossachs National Park,FK17 8LE,51,
,1,The Cairngorms National Park,AB35 5RH,4,,,2,The Loch Lomond and The Trossachs National Park,FK17 8LY,48,
,1,The Cairngorms National Park,AB35 5RJ,13,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BP,14,
,1,The Cairngorms National Park,AB35 5RL,60,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BB,24,
,1,The Cairngorms National Park,AB35 5SF,27,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BD,19,
,1,The Cairngorms National Park,AB35 5RP,27,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BF,6,
,1,The Cairngorms National Park,AB35 5GH,2,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BG,95,
,1,The Cairngorms National Park,AB35 5RR,32,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BH,48,
,1,The Cairngorms National Park,AB35 5RS,43,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BJ,2,
,1,The Cairngorms National Park,AB35 5RT,10,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DA,22,
,1,The Cairngorms National Park,AB35 5RU,70,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BN,34,
,1,The Cairngorms National Park,AB35 5RW,31,,,2,The Loch Lomond and The Trossachs National Park,FK17 8AY,60,
,1,The Cairngorms National Park,AB35 5RX,55,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BQ,26,
,1,The Cairngorms National Park,AB35 5RY,5,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BT,10,
,1,The Cairngorms National Park,AB35 5SA,0,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BW,56,
,1,The Cairngorms National Park,AB35 5RN,54,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BX,4,
,1,The Cairngorms National Park,PH20 1DN,14,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BY,61,
,1,The Cairngorms National Park,PH20 1BT,38,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BU,13,
,1,The Cairngorms National Park,PH20 1DY,162,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BL,17,
,1,The Cairngorms National Park,PH20 1DX,78,,,2,The Loch Lomond and The Trossachs National Park,FK17 8AJ,37,
,1,The Cairngorms National Park,PH20 1DW,20,,,2,The Loch Lomond and The Trossachs National Park,FK19 8PY,13,
